,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
Tasiilaq,65.61,-37.64,28.4,46,100,29.97
Avera,33.19,-82.53,59.81,24,1,10.29
Avarua,-21.21,-159.78,77.0,88,100,12.75
Camargo,27.67,-105.17,67.42,26,0,15.37
Korop,51.57,32.96,32.45,89,100,7.14
Karatuzskoye,53.61,92.87,7.66,85,0,1.99
Iqaluit,63.75,-68.51,-22.0,61,20,13.87
Bouloupari,-21.87,166.05,82.0,88,90,2.24
Ribeira Grande,38.52,-28.7,62.6,77,75,19.46
Mpika,-11.83,31.45,62.71,96,99,5.03
Pimentel,-6.84,-79.93,66.2,29,0,19.46
Arrondissement de Clermont,49.5,2.42,46.72,87,75,11.41
Sayyan,15.17,44.32,46.71,34,0,2.19
Chui,-33.7,-53.46,78.8,79,62,9.4
Thompson,55.74,-97.86,3.2,77,90,11.41
East London,-33.02,27.91,75.58,84,26,3.04
Srednekolymsk,67.45,153.68,-32.8,97,81,3.4
Honningsvag,70.98,25.97,32.0,74,75,26.19
Itarema,-2.92,-39.92,77.56,90,49,7.11
Talnakh,69.49,88.4,15.8,85,75,24.61
Sur,22.57,59.53,66.83,66,0,8.14
Beeville,28.4,-97.75,62.89,44,1,4.7
Barrow,71.29,-156.79,-34.6,96,20,5.82
Alice Springs,-23.7,133.88,77.0,31,30,6.98
Olinda,-8.01,-34.86,84.2,70,40,12.75
Yulara,-25.24,130.99,80.6,42,0,14.99
Kavaratti,10.57,72.64,81.1,72,13,6.98
Latung,5.5,120.88,81.09,79,53,5.55
Port Alfred,-33.59,26.89,69.01,97,0,4.32
Wanning,18.8,110.4,73.06,91,8,10.6
Bilibino,68.05,166.44,-18.94,100,98,1.48
Kapaa,22.08,-159.32,78.06,78,90,12.75
Warrnambool,-38.38,142.48,61.0,97,100,22.19
Saint-Priest,45.7,4.94,40.12,86,0,2.24
Rockport,28.02,-97.05,57.54,58,75,9.17
City of San Pedro,14.35,121.02,76.89,78,20,2.24
Hambantota,6.12,81.12,78.42,81,37,20.13
Vila Franca do Campo,37.72,-25.43,62.6,82,20,19.46
Halifax,44.65,-63.57,9.86,66,75,17.22
Salalah,17.02,54.09,73.4,15,0,14.99
Taoudenni,22.68,-3.98,74.21,24,21,10.47
Pascoag,41.96,-71.7,23.7,38,1,14.99
Durres,41.32,19.44,44.6,87,20,3.36
Shonguy,68.75,33.15,19.4,92,40,2.24
Potrerillos,15.23,-87.97,89.6,52,40,13.87
Clyde River,70.47,-68.59,-4.0,83,75,28.86
Bambous Virieux,-20.34,57.76,77.5,100,75,8.05
Castro,-24.79,-50.01,73.45,62,98,2.93
Portland,45.52,-122.68,47.28,70,75,4.7
Golden,39.76,-105.22,44.4,45,1,1.7
George Town,5.41,100.34,81.28,88,20,3.36
Cururupu,-1.83,-44.87,78.35,83,99,3.24
Brae,60.4,-1.35,43.57,81,53,33.33
Provideniya,64.38,-173.3,-0.92,71,100,15.03
Bryan,30.67,-96.37,56.37,47,1,8.05
Andros Town,24.7,-77.77,80.8,61,20,11.41
Belyy Yar,53.6,91.39,-0.4,84,85,0.89
Mani,4.82,-72.29,96.64,30,34,11.36
Shimoda,34.67,138.95,43.0,90,65,17.34
Lhokseumawe,5.18,97.15,70.57,94,98,2.73
Mumbwa,-14.98,27.06,66.18,99,98,4.32
Conakry,9.54,-13.68,78.21,76,0,4.41
Faanui,-16.48,-151.75,82.94,70,100,6.96
Athabasca,54.72,-113.29,4.53,83,100,13.71
Hukuntsi,-24.0,21.75,80.22,31,70,8.12
Guanica,17.97,-66.91,77.04,63,75,13.87
Korla,41.76,86.15,16.0,46,100,1.99
Areia Branca,-4.96,-37.14,89.6,66,20,17.22
Kampot,10.62,104.18,73.4,94,20,1.12
Newport,51.59,-3.0,49.5,100,90,10.29
Sorong,-0.88,131.25,73.85,96,100,1.95
Mahon,39.89,4.27,55.4,87,75,4.7
Hobart,-42.88,147.33,59.86,82,75,17.22
Dunedin,-45.87,170.5,61.57,74,60,4.0
Businga,3.33,20.88,74.3,26,56,1.7
Lagoa,39.05,-27.98,62.15,78,100,30.76
Chaozhou,23.67,116.64,64.4,100,90,6.71
Vaitape,-16.52,-151.75,82.94,70,100,6.96
Klaksvik,62.23,-6.59,42.8,70,100,18.34
Mahebourg,-20.41,57.7,77.49,100,75,8.05
Hofn,64.25,-15.21,38.82,83,100,46.1
Cidreira,-30.18,-50.21,75.92,84,100,21.79
Fortuna,40.6,-124.16,52.57,71,1,14.99
Fairbanks,64.84,-147.72,-29.83,59,1,3.24
Henties Bay,-22.12,14.28,64.0,92,0,1.86
Ashoknagar,24.57,77.72,61.88,37,100,5.75
Shetpe,44.17,52.12,31.93,85,96,9.69
Pravdinsk,54.44,21.02,26.6,100,0,4.47
Vila Velha,-20.33,-40.29,81.7,78,40,9.17
Saldanha,-33.01,17.94,66.2,68,18,9.17
Lebu,-37.62,-73.65,67.1,56,0,10.54
Okakarara,-20.58,17.43,72.95,58,57,12.39
Padang,-0.95,100.35,67.55,96,100,2.33
Puerto Baquerizo Moreno,-0.9,-89.6,86.0,74,20,17.22
Mlonggo,-6.53,110.7,83.62,72,86,7.07
Margate,51.38,1.39,49.86,81,75,17.22
Synya,65.37,58.04,9.82,96,98,4.79
Saint George,37.1,-113.58,54.66,16,1,6.93
Great Yarmouth,52.61,1.73,48.97,87,75,18.34
Weston,26.1,-80.4,83.17,66,40,9.17
Qui Nhon,13.77,109.23,68.05,96,2,0.92
Nautla,20.22,-96.78,65.07,71,88,4.99
Atambua,-9.11,124.89,75.52,86,66,2.98
Manaure,11.78,-72.44,93.2,44,20,14.99
Boyolangu,-8.12,111.89,74.97,93,88,2.8
Butaritari,3.07,172.79,83.62,78,100,19.77
Morondava,-20.28,44.28,75.51,93,37,3.85
Yar-Sale,66.83,70.83,10.26,95,100,2.89
Vardo,70.37,31.11,14.04,66,20,32.21
Two Rivers,44.15,-87.57,10.17,33,1,9.17
Tongliao,43.61,122.27,10.69,58,100,9.48
Shemonaikha,50.63,81.91,14.11,81,100,3.36
Te Anau,-45.42,167.72,56.44,89,100,0.65
Qaqortoq,60.72,-46.03,28.4,39,75,24.16
Cuamba,-14.8,36.54,65.86,98,98,3.18
Rome,43.21,-75.46,10.47,43,1,16.11
Sudak,44.85,34.97,37.26,78,100,13.4
OEstersund,63.18,14.64,24.51,73,100,10.29
Broken Hill,-31.95,141.43,64.4,77,5,19.46
Touros,-5.2,-35.46,84.2,70,20,9.17
West Wendover,40.74,-114.07,41.0,56,1,6.93
Kaeo,-35.1,173.78,71.51,100,99,16.98
Rabo de Peixe,37.8,-25.58,62.6,82,20,19.46
Batemans Bay,-35.72,150.18,66.52,92,45,0.81
Marfino,55.7,37.38,29.71,92,75,6.71
Cabo San Lucas,22.89,-109.91,73.62,49,5,3.36
Alfatar,43.95,27.28,41.31,46,58,4.83
Tiksi,71.69,128.87,-14.84,87,100,10.04
Dongsheng,39.82,109.98,4.87,63,0,17.07
Paredon,16.03,-93.87,87.87,52,0,28.63
Boddam,57.47,-1.78,41.65,70,100,13.87
Severo-Kuril'sk,50.68,156.12,14.22,89,92,24.38
Atenco,19.89,-97.93,55.36,68,100,6.26
Sandwick,60.0,-1.25,43.79,75,1,32.21
Aklavik,68.22,-135.01,-31.0,66,5,3.36
Naze,28.37,129.48,69.8,100,90,8.05
Muzhi,65.37,64.67,9.64,96,100,2.8
Beloha,-25.17,45.05,74.41,89,34,2.62
Sobolevo,54.43,31.9,29.95,92,100,3.4
Itoman,26.12,127.67,72.45,83,90,6.93
Coquimbo,-29.95,-71.34,66.2,68,0,14.99
Mahibadhoo,3.78,72.97,82.11,81,100,14.25
Williston,48.15,-103.62,39.87,60,1,12.75
Kieta,-6.22,155.63,81.59,73,100,3.85
Morehead,37.27,-87.18,26.69,49,1,3.36
San Angelo,31.46,-100.44,57.13,41,1,8.05
Xining,36.62,101.77,1.72,77,98,2.1
Aswan,24.09,32.91,73.4,25,0,8.05
Acarau,-2.89,-40.12,77.56,90,49,7.11
Husavik,66.04,-17.34,37.4,74,75,49.44
Ola,59.58,151.28,0.23,82,100,14.29
Plettenberg Bay,-34.05,23.37,66.24,82,0,4.34
Auburn,47.31,-122.23,46.94,65,75,10.29
Ustyuzhna,58.84,36.43,28.8,93,98,4.32
Kavieng,-2.57,150.8,83.5,76,100,13.22
Gobabis,-22.45,18.97,76.05,39,50,8.93
Hammerfest,70.66,23.68,29.16,92,75,27.51
Bratsk,56.13,101.61,5.0,71,0,4.47
Khvastovichi,53.47,35.09,28.65,95,100,4.47
Longyearbyen,78.22,15.64,-2.2,70,20,8.05
Bodden Town,19.28,-81.25,84.4,74,20,13.87
Saskylakh,71.92,114.08,3.69,91,97,8.03
Sambava,-14.27,50.17,73.27,96,32,3.04
Lom Sak,16.78,101.24,63.86,52,5,1.92
Bafq,31.61,55.41,53.71,23,0,7.18
Coyhaique,-45.58,-72.07,61.05,45,40,10.29
Buala,-8.14,159.59,79.36,84,100,9.66
Barcelos,41.54,-8.62,53.06,93,20,2.24
Cap Malheureux,-19.98,57.61,77.61,100,75,8.05
Manzhouli,49.6,117.43,-5.49,92,0,5.79
Ternate,0.8,127.4,74.25,93,100,3.13
Codrington,-38.27,141.97,62.51,91,100,23.35
Salinopolis,-0.61,-47.36,79.45,85,100,17.96
Dahuk,36.87,42.99,29.12,49,100,6.82
Coahuayana Viejo,18.73,-103.68,82.4,48,40,11.41
Yichang,30.71,111.28,45.19,62,100,12.59
Esperance,-33.87,121.9,66.2,63,75,12.75
Udachny,66.42,112.4,6.8,84,90,2.24
Adrar,20.5,-10.07,72.1,21,99,11.12
Nome,64.5,-165.41,1.4,54,1,9.17
Tazovsky,67.47,78.7,7.41,95,84,8.23
Mount Gambier,-37.83,140.77,59.0,100,90,13.87
Lata,40.16,-8.33,52.52,93,20,1.12
Kamenka,51.32,42.77,27.0,93,96,7.63
Huarmey,-10.07,-78.15,80.42,55,11,10.2
Biskupiec,53.86,20.96,26.6,100,0,1.12
Sao Filipe,14.9,-24.5,74.39,55,100,17.81
Biloela,-24.42,150.5,74.97,79,0,1.92
Narsaq,60.92,-46.05,28.4,39,75,24.16
Los Llanos de Aridane,28.66,-17.92,68.97,82,20,13.87
Asau,46.43,26.4,37.26,52,90,6.93
Mareeba,-17.0,145.43,82.4,58,0,6.93
Karratha,-20.74,116.85,83.17,76,3,16.24
Maceio,-9.67,-35.74,84.2,66,20,14.99
Francistown,-21.17,27.51,70.74,61,0,9.4
Port Lincoln,-34.73,135.87,63.03,74,100,15.01
Sikasso,10.92,-7.0,75.83,8,0,5.06
Roald,62.58,6.13,39.54,60,75,17.22
Veraval,20.9,70.37,70.23,36,0,6.96
Santiago,-33.46,-70.65,90.05,18,77,8.05
Kailua,21.4,-157.74,79.52,69,40,8.05
George,-33.96,22.46,66.2,93,10,2.24
Saint-Francois,46.42,3.91,40.06,81,90,2.24
Bintulu,3.17,113.03,77.0,94,75,3.36
Sao Felix do Xingu,-6.64,-51.99,82.44,83,28,1.01
Isiro,2.77,27.62,75.42,45,82,2.21
Lucan,53.36,-6.44,44.42,75,75,6.93
Estevan,49.13,-102.98,32.99,74,75,9.17
Abu Dhabi,24.47,54.37,62.6,77,0,3.36
New Norfolk,-42.78,147.06,59.86,82,75,17.22
San Quintin,30.48,-115.95,63.5,58,91,9.22
Mastic Beach,40.77,-72.85,28.36,30,1,13.87
Ribeira Brava,32.65,-17.07,59.92,77,20,5.82
Haines Junction,60.75,-137.51,-5.87,95,96,3.67
Ponta Delgada,37.73,-25.67,62.6,82,20,19.46
Abalak,58.13,68.59,4.26,96,77,5.44
Vila do Maio,15.13,-23.22,78.8,39,100,19.46
Talaya,61.38,152.75,-21.68,97,100,7.02
Sena Madureira,-9.07,-68.66,85.32,80,41,0.65
Bria,6.54,21.99,74.5,26,1,3.06
Virginia Beach,36.85,-75.98,43.0,52,75,11.41
Muros,42.78,-9.06,54.59,93,75,4.7
Romilly-sur-Seine,48.51,3.73,44.2,93,90,6.93
Constitucion,-35.33,-72.42,64.36,61,0,14.5
Colquechaca,-18.67,-66.02,59.31,64,100,6.06
San Juan,-31.54,-68.54,89.37,24,0,4.97
Perivoli,39.42,20.01,53.6,87,90,9.17
Kumluca,36.37,30.29,48.18,73,100,5.5
Miami,25.77,-80.19,82.58,58,40,6.93
Wote,-1.78,37.63,65.34,82,100,3.53
Inta,66.03,60.17,9.55,95,99,7.56
Daru,-9.08,143.21,75.4,96,32,4.79
Mandalgovi,45.76,106.27,-0.09,80,0,10.6
Labuan,5.28,115.24,77.7,94,75,6.55
Lompoc,34.64,-120.46,59.95,63,1,9.17
Marica,-22.92,-42.82,76.82,78,75,13.87
Pacific Grove,36.62,-121.92,56.28,76,1,6.29
Waitati,-45.75,170.57,61.54,75,60,3.0
Kaitangata,-46.28,169.85,63.0,75,22,3.0
Kropotkin,45.44,40.58,31.64,89,100,6.04
Kysyl-Syr,63.9,122.76,-24.14,96,0,2.82
Furth im Wald,49.31,12.84,38.34,80,90,5.82
Mahon,39.89,4.27,55.4,87,75,4.7
Labuhan,-6.88,112.21,76.01,91,100,2.64
Sungaipenuh,-2.08,101.38,62.15,97,98,1.54
Ponta do Sol,32.67,-17.1,59.94,77,20,5.82
Inzer,54.22,57.56,16.79,96,100,3.11
Oktyabrskiy,54.48,53.47,6.84,96,77,2.98
Pangnirtung,66.15,-65.71,-27.4,74,20,5.82
Luderitz,-26.65,15.16,62.6,88,0,2.24
Nara,34.69,135.8,43.16,100,90,2.24
Hailun,47.45,126.93,-9.18,92,0,1.57
Berlevag,70.86,29.09,16.66,66,0,11.41
Sitka,57.05,-135.33,35.6,93,90,10.29
Turinsk,58.05,63.7,9.21,96,98,6.78
Utica,43.1,-75.23,10.29,43,1,16.11
Namatanai,-3.67,152.43,82.8,75,100,8.68
Panguna,-6.32,155.48,73.09,83,100,1.83
Tessalit,20.2,1.01,71.92,12,0,10.11
Alakurtti,66.97,30.35,16.0,91,64,5.99
Manta,-0.95,-80.73,84.2,74,75,6.93
Gaoyou,32.79,119.43,53.89,86,100,3.0
Grandola,38.18,-8.57,57.2,76,20,6.93
Chiknayakanhalli,13.42,76.62,68.81,45,0,1.52
Snezhnogorsk,69.19,33.25,19.4,92,40,2.24
Fare,-16.7,-151.02,83.17,68,30,6.58
Laas,46.62,10.7,27.16,85,0,2.24
Ancud,-41.87,-73.82,64.4,59,75,10.29
Bulgan,48.81,103.53,-3.66,76,61,5.08
Monchegorsk,67.94,32.87,19.09,93,98,4.56
Khovd,48.01,91.64,-2.13,96,0,1.92
Saint-Pierre,-21.34,55.48,75.24,83,75,4.7
Soyo,-6.13,12.37,82.26,77,100,3.18
Byron Bay,-28.65,153.62,73.35,83,40,4.7
Arkansas City,37.06,-97.04,32.32,37,90,13.87
Igurusi,-8.85,33.85,57.29,97,100,0.34
Bakel,14.9,-12.46,85.73,14,87,12.1
Acapulco de Juarez,16.86,-99.89,86.0,51,20,6.93
San Ramon,37.78,-121.98,58.48,58,1,6.93
Barcelona,41.39,2.16,52.5,93,20,1.12
Zhigansk,66.77,123.37,-25.71,92,10,6.4
Havre-Saint-Pierre,50.23,-63.6,8.6,27,1,17.22
Rodolfo Sanchez Taboada,31.72,-116.57,62.01,80,83,4.0
Upata,8.01,-62.4,85.95,44,75,9.55
Sept-Iles,50.2,-66.38,6.8,29,20,12.75
Ramtek,21.4,79.33,64.4,63,0,4.23
Konstantinovka,49.62,127.98,-1.07,84,0,6.26
Prince George,53.92,-122.75,34.93,59,75,11.41
Taltal,-25.4,-70.48,67.87,75,89,6.38
Balingasay,16.36,119.86,78.33,77,0,7.11
Tukrah,32.53,20.58,57.38,89,0,7.23
Anadyr,64.75,177.48,10.18,66,100,13.42
Mazara del Vallo,37.66,12.59,51.76,76,0,9.17
Comodoro Rivadavia,-45.87,-67.5,78.8,21,20,21.92
Jiazi,22.88,116.07,64.85,94,48,4.61
Ugoofaaru,5.67,73.0,81.93,79,91,14.09
Bacolod City,10.67,122.95,72.9,83,9,5.3
Innoshima,34.28,133.18,43.0,94,100,4.05
Manado,1.49,124.85,77.0,94,40,2.24
Santa Maria,-29.68,-53.81,86.0,58,20,4.7
Murgab,37.5,61.97,48.2,61,75,13.87
Lewistown,40.6,-77.57,24.28,45,75,10.29
Kourou,5.16,-52.65,82.4,69,75,10.29
Itupiranga,-5.13,-49.33,87.8,70,20,2.24
Hamilton,39.18,-84.53,22.03,53,1,3.58
Hirado,33.36,129.55,55.0,87,100,4.7
Hasaki,35.73,140.83,41.22,100,40,3.36
Wucheng,29.6,118.17,60.01,93,100,6.17
Springbok,-29.66,17.89,72.68,43,9,5.93
Voh,-20.97,164.7,81.57,80,10,5.61
Perdoes,-21.09,-45.09,75.72,82,24,1.3
Khandyga,62.67,135.6,-35.45,97,18,1.16
Muscat,23.61,58.59,68.0,64,0,4.7
Champerico,14.3,-91.92,91.4,52,40,16.11
Monroe,43.15,-77.68,13.23,66,90,6.93
Vitim,59.45,112.56,6.22,95,96,6.71
Rosario,-32.95,-60.64,88.84,38,4,3.36
Novokayakent,42.39,47.99,35.38,59,17,4.47
Deputatsky,69.3,139.9,-24.79,82,53,3.8
Puerto Carreno,6.19,-67.49,91.4,46,40,11.41
Tiznit,29.58,-9.5,61.07,44,73,3.13
Plouzane,48.38,-4.62,53.11,93,90,21.92
Kisangani,0.52,25.2,76.42,42,40,0.72
Homer,59.64,-151.55,18.77,85,90,2.21
Pimenta Bueno,-11.67,-61.19,85.28,76,0,2.48
Vilyuysk,63.76,121.62,-20.72,97,3,3.06
Imbituba,-28.24,-48.67,82.4,65,67,12.75
Sicuani,-14.27,-71.23,47.28,73,100,2.13
Shamary,57.34,58.22,14.14,96,99,2.66
Zhob,31.34,69.45,43.43,31,0,2.53
Mwinilunga,-11.74,24.43,64.15,97,100,8.37
La Ronge,55.1,-105.28,5.0,65,75,20.8
San Andres,12.58,-81.7,86.0,70,20,13.87
Tooele,40.53,-112.3,50.16,52,1,8.05
Nuevo Progreso,23.17,-97.95,72.3,64,47,8.99
Brookhaven,31.58,-90.44,55.11,37,1,10.29
Beringovskiy,63.05,179.32,7.47,86,99,16.46
Broome,42.25,-75.83,11.35,55,40,8.05
Gijang,35.24,129.21,42.8,93,75,1.12
Mnogovershinnyy,53.94,139.92,-12.8,87,94,5.73
Hirara,24.8,125.28,73.4,88,65,11.52
Hun,29.13,15.95,62.33,36,0,3.71
Sagarejo,41.73,45.33,32.0,68,0,14.99
Dumabato,16.32,121.7,65.25,96,3,1.99
Sillod,20.3,75.65,67.71,32,0,2.57
Najran,17.49,44.13,57.2,28,0,1.63
Zyryanka,65.75,150.85,-30.17,96,41,5.93
Los Andes,-32.83,-70.6,89.78,18,89,17.22
Cedar City,37.68,-113.06,51.8,25,1,18.34
San Cristobal,7.77,-72.22,86.0,48,40,12.75
Batagay-Alyta,67.8,130.41,-21.15,55,0,4.76
Tevaitoa,-16.78,-151.5,82.96,70,100,7.16
Ixtapa,20.7,-105.2,77.0,65,75,9.17
Mopipi,-21.18,24.88,81.93,40,14,15.35
Moose Factory,51.26,-80.61,1.4,49,1,14.99
Kenora,49.82,-94.43,16.09,52,90,16.11
Panama,8.99,-79.52,91.26,49,20,16.11
Pokrovo-Prigorodnoye,52.68,41.42,24.57,91,90,7.29
Acajutla,13.59,-89.83,93.2,28,0,6.93
Alofi,-19.06,-169.92,80.6,78,100,13.87
Ambilobe,-13.2,49.05,78.64,87,2,6.49
Privolnyy,44.1,46.66,32.5,80,0,5.17
Tetiz,20.97,-89.93,91.4,36,40,4.7
Dingle,11.0,122.67,72.61,90,0,8.93
Ostrovnoy,68.05,39.51,21.76,90,91,14.38
Nicoya,10.15,-85.45,95.0,36,20,25.28
Rawson,-43.3,-65.1,73.31,41,55,23.76
Tikaitnagar,26.95,81.58,57.24,58,47,9.98
Belle Fourche,44.67,-103.85,44.6,33,1,14.99
Burnie,-41.07,145.92,68.0,93,92,1.99
Quelimane,-17.88,36.89,77.36,89,47,7.47
Madimba,-10.4,40.33,77.0,94,40,3.83
Bathsheba,13.22,-59.52,80.6,69,40,18.34
Brigham City,41.51,-112.02,41.63,45,90,6.6
Faya,18.39,42.45,59.86,30,1,8.05
Lagunas,-5.23,-75.68,93.72,42,73,3.56
Ulaanbaatar,47.91,106.88,-3.03,74,100,3.02
Billings,45.78,-108.5,38.25,69,75,11.41
Tabuk,17.42,121.44,68.18,93,1,4.63
Yelyzavethradka,48.8,32.4,36.86,76,100,12.73
Bereket,39.24,55.52,33.55,84,99,9.24
Tezu,27.92,96.17,59.56,77,94,2.01
Caravelas,-17.71,-39.25,81.66,79,100,12.64
Manicore,-5.81,-61.3,82.4,88,75,4.7
Jaora,23.63,75.13,60.42,44,1,4.34
Dubbo,-32.25,148.62,69.8,83,0,5.82
Isangel,-19.55,169.27,80.6,88,20,17.07
Kinsale,51.71,-8.53,44.28,87,40,5.82
North Bend,43.41,-124.22,48.15,76,75,5.01
Omaruru,-21.43,15.93,70.39,67,0,5.06
Ambon,-3.7,128.18,81.77,76,0,5.03
Luanda,-8.84,13.23,80.6,88,75,8.93
San Miguel,13.48,-88.18,92.03,49,0,9.17
Okhotsk,59.38,143.3,3.31,79,100,11.18
Lubaczow,50.16,23.12,39.06,90,99,7.0
Meulaboh,4.14,96.13,80.58,82,100,7.11
Nandyal,15.48,78.48,69.31,40,0,2.59
Tuatapere,-46.13,167.68,63.41,69,100,1.61
Gilbues,-9.83,-45.34,79.65,77,100,5.39
Moerai,-22.43,-151.33,80.22,81,96,12.82
Saint George's,12.06,-61.75,80.6,74,75,25.28
Dudinka,69.41,86.18,15.8,85,75,24.61
Praia,14.92,-23.51,78.8,39,100,19.46
East Liverpool,40.62,-80.58,20.66,52,75,8.05
Sao Domingos do Maranhao,-5.58,-44.39,77.85,93,100,2.64
Nangomba,-10.9,38.5,69.44,98,98,2.21
Bataipora,-22.3,-53.27,84.2,68,73,2.95
Greenville,35.61,-77.37,53.42,37,1,8.05
Caruray,10.31,119.01,80.08,82,2,14.92
Bow Island,49.87,-111.37,31.03,92,90,9.17
Joensuu,62.58,29.75,27.79,86,75,9.17
